brand,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Hyundai,2019.0,15000.0,Petrol,Individual,Manual,First Owner,750000.0
Renault,2017.0,16000.0,Petrol,Individual,Manual,First Owner,315000.0
Mahindra,2012.0,60000.0,Diesel,Individual,Manual,First Owner,600000.0
Maruti,2010.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,100000.0
Maruti,2011.0,110000.0,Petrol,Individual,Manual,Third Owner,250000.0
Renault,2017.0,25000.0,Petrol,Individual,Manual,First Owner,350000.0
Hyundai,2016.0,60000.0,Diesel,Individual,Manual,First Owner,780000.0
Maruti,2014.0,79350.0,Diesel,Individual,Manual,Second Owner,434000.0
Hyundai,2016.0,80000.0,Petrol,Individual,Automatic,First Owner,690000.0
Mahindra,2014.0,90000.0,Diesel,Individual,Manual,Second Owner,555000.0
Maruti,2007.0,90000.0,Petrol,Individual,Manual,Second Owner,120000.0
Maruti,2014.0,120000.0,Diesel,Individual,Manual,Second Owner,500000.0
Chevrolet,2013.0,60000.0,Diesel,Individual,Manual,Second Owner,165000.0
Maruti,2004.0,50000.0,Petrol,Individual,Manual,First Owner,95000.0
Maruti,2018.0,20000.0,Petrol,Individual,Manual,First Owner,550000.0
Maruti,2007.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,100000.0
Tata,2012.0,50000.0,Petrol,Individual,Manual,Second Owner,100000.0
Toyota,2012.0,100000.0,Diesel,Individual,Manual,First Owner,500000.0
Maruti,2016.0,70000.0,Diesel,Individual,Manual,Second Owner,800000.0
Hyundai,2016.0,70000.0,Diesel,Individual,Manual,Second Owner,840000.0
Honda,2016.0,50000.0,Petrol,Individual,Manual,First Owner,490000.0
Tata,2010.0,81000.0,Diesel,Individual,Manual,Second Owner,125000.0
Chevrolet,2012.0,120000.0,Diesel,Individual,Manual,Third Owner,400000.0
Chevrolet,2015.0,3600.0,Diesel,Dealer,Manual,First Owner,1000000.0
Ford,2015.0,14272.0,Petrol,Dealer,Manual,First Owner,530000.0
Ford,2017.0,49213.0,Diesel,Dealer,Manual,First Owner,840000.0
Hyundai,2015.0,40000.0,Petrol,Individual,Manual,First Owner,229999.0
Maruti,2001.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,40000.0
Chevrolet,2012.0,80000.0,Petrol,Individual,Manual,First Owner,130000.0
Hyundai,2015.0,70000.0,Petrol,Individual,Manual,First Owner,200000.0
Tata,2011.0,70000.0,Diesel,Individual,Manual,First Owner,120000.0
Hyundai,2003.0,57000.0,Petrol,Individual,Manual,First Owner,75000.0
Tata,2016.0,120000.0,Diesel,Individual,Manual,First Owner,250000.0
Maruti,2005.0,30000.0,Petrol,Individual,Manual,First Owner,100000.0
Hyundai,2013.0,3240.0,Petrol,Individual,Manual,Second Owner,280000.0
Hyundai,2015.0,5000.0,Petrol,Individual,Manual,First Owner,540000.0
Hyundai,2018.0,10000.0,Petrol,Individual,Manual,First Owner,700000.0
Maruti,2015.0,100000.0,Diesel,Individual,Manual,First Owner,525000.0
Hyundai,2016.0,80000.0,Diesel,Individual,Manual,First Owner,430000.0
Hyundai,2002.0,70000.0,Petrol,Individual,Manual,First Owner,65000.0
Maruti,2018.0,35000.0,Diesel,Individual,Manual,First Owner,800000.0
Hyundai,2007.0,114000.0,Petrol,Individual,Manual,Second Owner,75000.0
Hyundai,2008.0,53772.0,Petrol,Individual,Manual,First Owner,210000.0
Mahindra,2012.0,140000.0,Diesel,Individual,Manual,Second Owner,195000.0
Chevrolet,2015.0,120000.0,Diesel,Individual,Manual,First Owner,400000.0
Hyundai,2012.0,60000.0,Petrol,Individual,Manual,First Owner,170000.0
Renault,2016.0,25000.0,Petrol,Individual,Manual,First Owner,225000.0
Maruti,2014.0,90000.0,LPG,Individual,Manual,First Owner,210000.0
Maruti,2020.0,120000.0,Petrol,Individual,Manual,First Owner,240000.0
Chevrolet,2015.0,149534.8,Diesel,Individual,Manual,First Owner,300000.0
Chevrolet,2011.0,100000.0,Petrol,Individual,Manual,Third Owner,99000.0
Honda,2014.0,36000.0,Petrol,Individual,Manual,First Owner,620000.0
Honda,2013.0,30000.0,Diesel,Individual,Manual,First Owner,500000.0
Other,2010.0,40000.0,Petrol,Individual,Automatic,Second Owner,1200000.0
Honda,2013.0,70000.0,Petrol,Individual,Manual,Second Owner,260000.0
Maruti,2017.0,60000.0,Petrol,Individual,Manual,First Owner,550000.0
Tata,2011.0,149534.8,Diesel,Individual,Manual,First Owner,150000.0
Hyundai,2011.0,50000.0,Petrol,Individual,Automatic,Second Owner,350000.0
Chevrolet,2016.0,40000.0,Petrol,Individual,Manual,First Owner,320000.0
Maruti,2015.0,100000.0,Diesel,Individual,Manual,Third Owner,400000.0
Maruti,2012.0,80000.0,Petrol,Individual,Manual,Third Owner,175000.0
Chevrolet,2011.0,90000.0,Petrol,Individual,Manual,Second Owner,120000.0
Renault,2013.0,90000.0,Diesel,Individual,Manual,Second Owner,320000.0
Hyundai,2006.0,110000.0,Petrol,Individual,Manual,Third Owner,70000.0
Maruti,2019.0,15000.0,Petrol,Individual,Manual,First Owner,810000.0
Maruti,2007.0,100000.0,Petrol,Individual,Manual,Second Owner,95000.0
Maruti,2020.0,40000.0,CNG,Individual,Manual,First Owner,282000.0
Maruti,2004.0,60000.0,Petrol,Individual,Manual,Second Owner,80000.0
Tata,2013.0,25000.0,Petrol,Individual,Manual,First Owner,72000.0
Hyundai,2016.0,25000.0,Petrol,Individual,Manual,First Owner,600000.0
Skoda,2015.0,23000.0,Petrol,Individual,Manual,First Owner,640000.0
Maruti,2018.0,22155.0,Petrol,Individual,Manual,First Owner,380000.0
Maruti,2018.0,70000.0,Petrol,Individual,Manual,First Owner,650000.0
Maruti,2009.0,60000.0,Petrol,Individual,Manual,Second Owner,150000.0
Hyundai,2009.0,110000.0,Petrol,Individual,Manual,Second Owner,280000.0
Tata,2018.0,30000.0,Petrol,Individual,Manual,First Owner,430000.0
Mahindra,2019.0,15000.0,Diesel,Individual,Manual,First Owner,800000.0
Maruti,2003.0,100000.0,Diesel,Individual,Manual,Second Owner,75000.0
Volkswagen,2016.0,70000.0,Diesel,Individual,Automatic,First Owner,650000.0
Maruti,2017.0,24000.0,Petrol,Individual,Manual,First Owner,390000.0
Honda,2005.0,120000.0,Petrol,Individual,Manual,Second Owner,100000.0
Other,2013.0,35000.0,Diesel,Individual,Automatic,First Owner,1200000.0
Maruti,2007.0,78380.0,Petrol,Individual,Manual,First Owner,175000.0
Renault,2012.0,110000.0,Diesel,Individual,Manual,Second Owner,434999.0
Ford,2010.0,90000.0,Diesel,Individual,Manual,Third Owner,170000.0
Ford,2011.0,90000.0,Diesel,Individual,Manual,Third Owner,190000.0
Maruti,2009.0,149534.8,Diesel,Individual,Manual,Third Owner,250000.0
Mahindra,2009.0,149534.8,Diesel,Individual,Manual,Third Owner,229999.0
Maruti,2006.0,70000.0,Petrol,Individual,Manual,Third Owner,140000.0
Maruti,2017.0,80362.0,Diesel,Individual,Manual,First Owner,600000.0
Hyundai,2012.0,110000.0,Petrol,Individual,Manual,Third Owner,280000.0
Chevrolet,2012.0,60000.0,Diesel,Individual,Manual,First Owner,150000.0
Chevrolet,2015.0,50000.0,Diesel,Individual,Automatic,First Owner,650000.0
Nissan,2014.0,40000.0,Petrol,Individual,Manual,Second Owner,210000.0
Other,2017.0,40000.0,Diesel,Individual,Automatic,First Owner,1200000.0
Chevrolet,2013.0,20000.0,Diesel,Dealer,Manual,First Owner,425000.0
Hyundai,2014.0,55000.0,Petrol,Dealer,Manual,First Owner,265000.0
Other,2018.0,1136.0,Petrol,Dealer,Manual,First Owner,890000.0
Renault,2013.0,55000.0,Petrol,Dealer,Manual,First Owner,365000.0
Ford,2014.0,43000.0,Petrol,Dealer,Manual,First Owner,350000.0
Maruti,2016.0,60000.0,Diesel,Individual,Manual,First Owner,685000.0
Skoda,2018.0,2650.0,Diesel,Dealer,Manual,First Owner,940000.0
Mahindra,2017.0,40000.0,Diesel,Individual,Manual,First Owner,1000000.0
Mahindra,2019.0,15000.0,Petrol,Dealer,Manual,First Owner,1150000.0
Maruti,2016.0,115962.0,Diesel,Individual,Manual,Second Owner,450000.0
Nissan,2015.0,65000.0,Diesel,Dealer,Manual,First Owner,590000.0
Maruti,2017.0,40000.0,Diesel,Individual,Manual,First Owner,800000.0
Hyundai,2012.0,58000.0,Diesel,Dealer,Manual,First Owner,385000.0
Other,2013.0,15000.0,Diesel,Individual,Automatic,First Owner,1200000.0
Hyundai,2012.0,54000.0,Petrol,Dealer,Manual,First Owner,235000.0
Volkswagen,2017.0,56000.0,Diesel,Dealer,Manual,First Owner,640000.0
Maruti,2006.0,120000.0,Petrol,Individual,Manual,Third Owner,52000.0
Maruti,2009.0,90000.0,LPG,Individual,Manual,Second Owner,80000.0
Maruti,2012.0,70000.0,Petrol,Individual,Manual,Second Owner,140000.0
Hyundai,2008.0,90000.0,Petrol,Individual,Manual,Second Owner,120000.0
Mahindra,2008.0,149534.8,Diesel,Individual,Manual,First Owner,89999.0
Chevrolet,2012.0,120000.0,Diesel,Individual,Manual,First Owner,180000.0
Mahindra,2017.0,20000.0,Diesel,Individual,Manual,First Owner,1200000.0
Hyundai,2017.0,10000.0,Petrol,Individual,Manual,First Owner,700000.0
Maruti,2012.0,80000.0,Diesel,Individual,Manual,Second Owner,285000.0
Hyundai,2015.0,90000.0,Petrol,Individual,Manual,First Owner,390000.0
Maruti,2008.0,80000.0,Petrol,Individual,Manual,First Owner,125000.0
Maruti,2008.0,60000.0,Petrol,Individual,Manual,Second Owner,225000.0
Hyundai,2011.0,139000.0,Petrol,Individual,Manual,Second Owner,175000.0
Toyota,2011.0,149534.8,Diesel,Individual,Manual,Second Owner,1075000.0
Honda,2014.0,149534.8,Diesel,Individual,Manual,First Owner,300000.0
Toyota,2010.0,149534.8,Diesel,Individual,Manual,Fourth & Above Owner,700000.0
Tata,2009.0,120000.0,Diesel,Dealer,Manual,First Owner,90000.0
Tata,2011.0,120000.0,Diesel,Individual,Manual,Second Owner,120000.0
Chevrolet,2012.0,100000.0,Diesel,Individual,Manual,Second Owner,220000.0
Tata,2015.0,140000.0,Diesel,Dealer,Manual,First Owner,300000.0
Skoda,2010.0,87000.0,Diesel,Dealer,Manual,Second Owner,180000.0
Maruti,2013.0,70000.0,Petrol,Individual,Manual,First Owner,170000.0
Ford,2015.0,50000.0,Petrol,Individual,Manual,Second Owner,300000.0
Toyota,2014.0,70000.0,Diesel,Individual,Manual,First Owner,1050000.0
Hyundai,2018.0,25000.0,Diesel,Individual,Manual,First Owner,465000.0
Chevrolet,2011.0,80000.0,Diesel,Individual,Manual,Second Owner,130000.0
Other,2018.0,10000.0,Petrol,Individual,Manual,First Owner,434999.0
Hyundai,2018.0,32000.0,Petrol,Individual,Manual,First Owner,500000.0
Maruti,2018.0,10000.0,Petrol,Individual,Manual,First Owner,200000.0
Maruti,2017.0,52000.0,Petrol,Dealer,Manual,First Owner,625000.0
Ford,2006.0,120000.0,Diesel,Individual,Manual,Third Owner,110000.0
Hyundai,2019.0,11240.0,Petrol,Individual,Manual,First Owner,800000.0
Hyundai,2017.0,66000.0,Diesel,Dealer,Manual,First Owner,490000.0
Maruti,2017.0,64000.0,Diesel,Dealer,Manual,First Owner,880000.0
Hyundai,2013.0,49000.0,Petrol,Individual,Manual,First Owner,290000.0
Tata,2006.0,100000.0,Diesel,Individual,Manual,Second Owner,115999.0
Renault,2018.0,26500.0,Petrol,Individual,Manual,First Owner,360000.0
Maruti,2002.0,100000.0,Petrol,Individual,Manual,Second Owner,65000.0
Maruti,2017.0,72000.0,Diesel,Dealer,Manual,First Owner,685000.0
Honda,2009.0,50000.0,Petrol,Individual,Manual,First Owner,300000.0
Hyundai,2017.0,44000.0,Diesel,Dealer,Manual,First Owner,680000.0
Maruti,2017.0,60000.0,Diesel,Individual,Manual,Second Owner,1000000.0
Tata,2002.0,120000.0,Diesel,Individual,Manual,First Owner,100000.0
Mahindra,2010.0,130000.0,Diesel,Individual,Manual,First Owner,160000.0
Maruti,2017.0,70000.0,Diesel,Individual,Manual,First Owner,450000.0
Maruti,2014.0,20000.0,Petrol,Individual,Manual,First Owner,600000.0
Hyundai,2009.0,60000.0,Diesel,Individual,Manual,Second Owner,180000.0
Maruti,2007.0,149534.8,Petrol,Individual,Manual,First Owner,100000.0
Maruti,2010.0,90000.0,Petrol,Individual,Manual,Second Owner,120000.0
Hyundai,2006.0,80000.0,Petrol,Individual,Manual,Third Owner,130000.0
Maruti,2011.0,149534.8,Petrol,Individual,Manual,First Owner,160000.0
Mahindra,2019.0,35000.0,Diesel,Individual,Manual,First Owner,860000.0
Hyundai,2018.0,20000.0,Petrol,Individual,Manual,Second Owner,650000.0
Maruti,2010.0,80000.0,Petrol,Individual,Manual,Second Owner,100000.0
Maruti,2017.0,20000.0,Petrol,Individual,Manual,First Owner,282000.0
Hyundai,2009.0,50000.0,Petrol,Individual,Manual,First Owner,300000.0
Hyundai,2010.0,110000.0,Petrol,Individual,Manual,Second Owner,270000.0
Hyundai,2013.0,29000.0,Diesel,Individual,Manual,First Owner,550000.0
Mahindra,2013.0,120000.0,Diesel,Individual,Manual,First Owner,450000.0
Mahindra,2011.0,70000.0,Diesel,Individual,Manual,Second Owner,430000.0
Maruti,2013.0,40000.0,Petrol,Individual,Manual,First Owner,350000.0
Honda,2017.0,20000.0,Petrol,Individual,Manual,First Owner,350000.0
Toyota,2013.0,50000.0,Petrol,Individual,Manual,Second Owner,229999.0
Maruti,2013.0,50000.0,Petrol,Individual,Manual,First Owner,110000.0
Maruti,2012.0,49000.0,Petrol,Individual,Manual,Second Owner,395000.0
Mahindra,2011.0,70000.0,Diesel,Individual,Automatic,Second Owner,650000.0
Mahindra,2011.0,90000.0,Diesel,Individual,Manual,Second Owner,350000.0
Mahindra,2020.0,25000.0,Diesel,Dealer,Manual,First Owner,1200000.0
Tata,2018.0,4000.0,Petrol,Individual,Manual,First Owner,360000.0
Mahindra,2018.0,10000.0,Diesel,Individual,Manual,First Owner,1200000.0
Renault,2015.0,15000.0,Diesel,Individual,Manual,First Owner,800000.0
Hyundai,2018.0,30000.0,Petrol,Individual,Manual,First Owner,229999.0
Maruti,2014.0,41000.0,Petrol,Dealer,Manual,First Owner,315000.0
Chevrolet,2012.0,28000.0,Petrol,Individual,Manual,First Owner,125000.0
Maruti,2019.0,16000.0,Petrol,Individual,Manual,First Owner,700000.0
Hyundai,2015.0,70000.0,Petrol,Individual,Manual,First Owner,160000.0
Ford,2017.0,10832.0,Petrol,Dealer,Manual,First Owner,530000.0
Ford,2018.0,14681.0,Diesel,Dealer,Manual,First Owner,624000.0
Hyundai,2009.0,50000.0,Petrol,Individual,Manual,First Owner,250000.0
Mahindra,2016.0,51000.0,Diesel,Dealer,Manual,First Owner,585000.0
Hyundai,2015.0,25000.0,Petrol,Individual,Manual,First Owner,500000.0
Chevrolet,2014.0,30000.0,Petrol,Individual,Manual,First Owner,350000.0
Honda,2014.0,80000.0,Diesel,Dealer,Manual,First Owner,495000.0
Hyundai,2017.0,50000.0,Petrol,Individual,Manual,First Owner,500000.0
Mahindra,2015.0,149534.8,Diesel,Individual,Manual,First Owner,430000.0
Hyundai,2013.0,44000.0,Petrol,Dealer,Manual,First Owner,345000.0
Maruti,2015.0,10000.0,Petrol,Individual,Manual,First Owner,500000.0
Tata,2019.0,19600.0,Petrol,Individual,Manual,First Owner,425000.0
Maruti,2005.0,40000.0,Petrol,Individual,Manual,Second Owner,80000.0
Chevrolet,2011.0,50000.0,Diesel,Individual,Manual,First Owner,106000.0
Maruti,2009.0,46730.0,Petrol,Individual,Manual,First Owner,180000.0
Other,2015.0,40000.0,Petrol,Individual,Manual,Second Owner,250000.0
Skoda,2011.0,80000.0,Diesel,Individual,Manual,First Owner,350000.0
Maruti,2002.0,80000.0,Petrol,Individual,Manual,Second Owner,60000.0
Hyundai,2018.0,24000.0,Diesel,Individual,Manual,First Owner,900000.0
Ford,2017.0,21170.0,Diesel,Dealer,Manual,First Owner,700000.0
Other,2013.0,149534.8,Diesel,Dealer,Automatic,First Owner,1200000.0
Maruti,2017.0,40000.0,Diesel,Individual,Manual,First Owner,1000000.0
Other,2011.0,60000.0,Diesel,Individual,Automatic,First Owner,1200000.0
Toyota,2016.0,141440.0,Diesel,Dealer,Manual,First Owner,1200000.0
Chevrolet,2007.0,120000.0,Diesel,Individual,Manual,Third Owner,160000.0
Other,2012.0,140000.0,Petrol,Individual,Automatic,First Owner,525000.0
Mahindra,2012.0,149534.8,Diesel,Dealer,Manual,First Owner,850000.0
Maruti,2019.0,30000.0,Diesel,Individual,Manual,First Owner,800000.0
Ford,2017.0,88635.0,Diesel,Dealer,Manual,First Owner,700000.0
Maruti,2018.0,25000.0,Diesel,Individual,Manual,First Owner,800000.0
Hyundai,2017.0,20000.0,Petrol,Individual,Manual,Second Owner,575000.0
Renault,2012.0,110000.0,Diesel,Individual,Manual,Second Owner,350000.0
Maruti,2008.0,120000.0,Diesel,Individual,Manual,Third Owner,250000.0
Ford,2011.0,149534.8,Diesel,Dealer,Manual,Second Owner,600000.0
Mahindra,2007.0,100000.0,Diesel,Individual,Manual,Third Owner,370000.0
Maruti,2006.0,120000.0,Petrol,Individual,Manual,Third Owner,80000.0
Tata,2003.0,120000.0,Diesel,Individual,Manual,Second Owner,50000.0
Hyundai,2018.0,25000.0,Diesel,Individual,Manual,First Owner,900000.0
Maruti,2014.0,35000.0,Petrol,Individual,Manual,Second Owner,300000.0
Tata,2002.0,40000.0,Petrol,Individual,Manual,First Owner,125000.0
Maruti,2015.0,60000.0,Diesel,Individual,Manual,Second Owner,490000.0
Toyota,2012.0,50000.0,Diesel,Individual,Manual,Second Owner,300000.0
Tata,2013.0,25000.0,Petrol,Individual,Manual,Fourth & Above Owner,55000.0
Hyundai,2016.0,25000.0,Petrol,Individual,Manual,First Owner,350000.0
Hyundai,2019.0,8000.0,Diesel,Individual,Manual,First Owner,755000.0
Maruti,2017.0,60000.0,Diesel,Individual,Manual,First Owner,720000.0
Mahindra,2006.0,149534.8,Diesel,Individual,Manual,Third Owner,229999.0
Mahindra,2018.0,20000.0,Diesel,Individual,Manual,First Owner,1100000.0
Volkswagen,2013.0,100000.0,Petrol,Individual,Manual,First Owner,400000.0
Hyundai,2015.0,70000.0,Diesel,Individual,Manual,Second Owner,350000.0
Chevrolet,2012.0,68000.0,Diesel,Dealer,Manual,First Owner,159000.0
Maruti,2017.0,38000.0,Petrol,Dealer,Manual,First Owner,550000.0
Maruti,2013.0,80000.0,Diesel,Dealer,Manual,First Owner,335000.0
Tata,2014.0,72000.0,CNG,Dealer,Manual,First Owner,185000.0
Maruti,2012.0,75000.0,CNG,Dealer,Manual,First Owner,229999.0
Maruti,2014.0,43000.0,Petrol,Dealer,Manual,First Owner,225000.0
Maruti,2007.0,120000.0,Petrol,Individual,Manual,Second Owner,250000.0
Tata,2015.0,100000.0,Diesel,Individual,Manual,First Owner,400000.0
Maruti,2014.0,149534.8,Diesel,Individual,Manual,First Owner,470000.0
Maruti,2018.0,25000.0,Petrol,Individual,Automatic,First Owner,300000.0
Maruti,2011.0,25000.0,Petrol,Individual,Manual,First Owner,145000.0
Maruti,2007.0,90000.0,Petrol,Individual,Manual,Second Owner,100000.0
Mahindra,2014.0,70000.0,Diesel,Individual,Manual,Second Owner,500000.0
Hyundai,2010.0,98000.0,CNG,Individual,Manual,Second Owner,130000.0
Chevrolet,2010.0,81925.0,Diesel,Individual,Manual,First Owner,240000.0
Ford,2013.0,80000.0,Diesel,Individual,Manual,Second Owner,150000.0
Renault,2017.0,40000.0,Petrol,Individual,Manual,First Owner,270000.0
Maruti,2014.0,90000.0,Diesel,Individual,Manual,First Owner,400000.0
Hyundai,2012.0,46000.0,Petrol,Individual,Manual,First Owner,200000.0
Mahindra,2012.0,80000.0,Diesel,Individual,Manual,First Owner,550000.0
Renault,2018.0,35000.0,Petrol,Individual,Manual,First Owner,325000.0
Skoda,2017.0,82080.0,Diesel,Individual,Automatic,First Owner,860000.0
Mahindra,2012.0,149534.8,Diesel,Individual,Manual,First Owner,600000.0
